Epoch,Train_PPL,Val_PPL
1,3103.0227230705877,2882.4524710453356
2,2288.744312796101,1978.6166488544202
3,1246.1269430512612,1150.516633182965
4,894.0804603725373,917.1446666797857
5,706.5564046099818,754.815421983726
6,575.890070141401,648.5298813215179
7,488.4265320909124,557.3535969756974
8,418.3340340425713,509.86754554129186
9,364.0398437717457,459.67162404340985
10,322.2212766872505,435.38007144184945
11,289.07184370628084,406.4117532329682
12,263.2422243112605,392.1749437263475
13,240.75730909597925,381.5922573889582
14,222.4779084578919,371.1865085288978
15,206.50737238071557,369.2104152237717
16,191.60842468231448,364.41940507953154
17,179.0780245726135,363.8631082544922
18,167.68031048741818,362.8158559647957
19,157.3076526300796,362.88752792430864
20,147.77476059673043,366.536806085723
21,139.32584495635783,372.0269483070382
22,131.6147238015579,375.2157017950887
23,124.48219061208124,381.4907560088979
24,118.07320594657804,386.3812407766588
25,111.77403860448294,395.91697589461694
26,106.29179436780082,407.9097341355822
27,101.0325269919332,409.93042150605686
28,96.42350146363222,420.9362893599096
29,92.26038713003094,432.6221163131852
30,88.65349226864946,441.35143225990964
